name,providerCode,phoneNumber,address,streetAddress1,streetAddress2,city,state,zipCode,country,status,latitude,longitude,createdAt,updatedAt
Elixir Aesthetics,elixir-aesthetics,813-219-1876,"2908 W Azeele St , Suite B, Tampa, FL, 33609, USA",2908 W Azeele St ,Suite B,Tampa,FL,33609,USA,Active,27.9408706,-82.4909496,2025-10-18T00:03:33.000Z,2025-10-18T00:03:33.000Z
MD Skin Center,md-skin-center,209-631-1111,"3351 M Street , Suite 120, Merced, CA, 95348, USA",3351 M Street ,Suite 120,Merced,CA,95348,USA,Active,37.3248261,-120.4787553,2025-10-18T00:03:34.000Z,2025-10-18T00:03:34.000Z
Artisan Beaute,artisan-beaute,7706372919,"3150 Roswell Rd , St1 B-1, Atlanta, GA, 30305, USA",3150 Roswell Rd ,St1 B-1,Atlanta,GA,30305,USA,Active,33.8407104,-84.37931019999999,2025-10-18T00:03:34.000Z,2025-10-18T00:03:34.000Z
Haus of Marin,haus-of-marin,4152547786,"29 1st St , Suite #100, Corte Madera, CA, 94925, USA",29 1st St ,Suite #100,Corte Madera,CA,94925,USA,Active,37.9255067,-122.5291732,2025-10-18T00:03:35.000Z,2025-10-18T00:03:35.000Z
Beauty Culture MedSpa,beauty-culture-medspa,(248) 499-9255,"2525 S Telegraph Rd. , Suite 202, Bloomfield Hills, MI, 48323, USA",2525 S Telegraph Rd. ,Suite 202,Bloomfield Hills,MI,48323,USA,Active,42.6036039,-83.2901495,2025-10-18T00:03:35.000Z,2025-10-18T00:03:35.000Z
Iconcierge MedSpa,iconcierge-medspa,727-295-6779,"455 99th Ave Nth, St Petersburg, FL, 33702, USA",455 99th Ave Nth,,St Petersburg,FL,33702,USA,Active,27.8624902,-82.6401869,2025-10-18T00:03:35.000Z,2025-10-18T00:03:35.000Z
Salon Bliss,salon-bliss,,"7075 Grand Ave , Suite 3c, Gurnee, IL, 60031, USA",7075 Grand Ave ,Suite 3c,Gurnee,IL,60031,USA,Active,42.3854586,-87.9771564,2025-10-18T00:03:36.000Z,2025-10-18T00:03:36.000Z
Skin Care by Monik,skin-care-by-monik,346-707-8543,"6615 W. Cross Creek Bend Lane , Suite 200, Fulshear, TX, 77441, USA",6615 W. Cross Creek Bend Lane ,Suite 200,Fulshear,TX,77441,USA,Active,29.694629,-95.8720296,2025-10-18T00:03:36.000Z,2025-10-18T00:03:36.000Z
Beauty Factory Medspa,beauty-factory-medspa,702-352-3560,"5025 Blue Diamond Rd , Ste 103, Las Vegas, NV, 89139, USA",5025 Blue Diamond Rd ,Ste 103,Las Vegas,NV,89139,USA,Active,36.030803,-115.2097874,2025-10-18T00:03:36.000Z,2025-10-18T00:03:36.000Z
AMET,amet,515-720-1107,"207 East Street, Buda, TX, 78610, USA",207 East Street,,Buda,TX,78610,USA,Active,30.0786818,-97.8426458,2025-10-18T00:03:37.000Z,2025-10-18T00:03:37.000Z
Clarity Health and Aesthetics,clarity-health-and-aesthetics,(816) 203-1431,"8350 N St Clair Ave , Suite 220, Kansas City, MO, 64151, USA",8350 N St Clair Ave ,Suite 220,Kansas City,MO,64151,USA,Active,39.2455052,-94.6491518,2025-10-18T00:03:37.000Z,2025-10-18T00:03:37.000Z
Source Medical Aesthetics,source-medical-aesthetics,732-275-8228,"1032 Rt 34, Matawan, NJ, 07747, USA",1032 Rt 34,,Matawan,NJ,07747,USA,Active,40.4021177,-74.2305208,2025-10-18T00:03:37.000Z,2026-01-22T20:26:11.000Z
"Brian S. Biesman, M.D.",brian-s-biesman-md,6153291110,"345 23rd Ave N, , # 416, Nashville, TN, 37203, USA","345 23rd Ave N, ",# 416,Nashville,TN,37203,USA,Active,36.1547388,-86.8096002,2025-10-18T00:03:38.000Z,2025-10-18T00:03:38.000Z
Brighter Smiles Med Spa,brighter-smiles-med-spa,5413427483,"390 Coburg Rd , # A, Eugene, OR, 97401, USA",390 Coburg Rd ,# A,Eugene,OR,97401,USA,Active,44.0668502,-123.0733148,2025-10-18T00:03:38.000Z,2025-10-18T00:03:38.000Z
R&R Aesthetics + Wellness,rr-aesthetics-wellness,817-688-5756,"6440 Rendon Bloodworth Rd, Fort Worth, TX, 76140, USA",6440 Rendon Bloodworth Rd,,Fort Worth,TX,76140,USA,Active,32.5758548,-97.2221869,2025-10-18T00:03:39.000Z,2025-11-13T02:59:40.000Z
Camille Fields - Restorative Skin Therapy,camille-fields-restorative-skin-therapy,818-212-8780,"13201 Ventura Blvd, Studio City, CA, 91604, USA",13201 Ventura Blvd,,Studio City,CA,91604,USA,Active,34.146395,-118.4199519,2025-10-18T00:03:39.000Z,2025-10-18T00:03:39.000Z
GS Service Group LTD,gs-service-group-ltd,+974 3999 7211,"Marina 50, , 16/F,, Lusail City,, Doha, 00000, QA","Marina 50, ","16/F,","Lusail City,",Doha,00000,QA,Active,25.3845691,51.5250807,2025-10-18T00:03:39.000Z,2025-10-18T00:03:39.000Z
Las Vegas Dermatology,las-vegas-dermatology,(702) 456-3120,"653 N TOWN CENTER DR , STE 414, LAS VEGAS, NV, 89144-0518, USA",653 N TOWN CENTER DR ,STE 414,LAS VEGAS,NV,89144-0518,USA,Active,36.1806954,-115.3156785,2025-10-18T00:03:40.000Z,2025-10-18T00:03:40.000Z
Lunaxy Beauty,lunaxy-beauty,9094966315,"440 Salem Dr., Big Bear City, CA, 92314, USA",440 Salem Dr.,,Big Bear City,CA,92314,USA,Active,34.2551177,-116.8576221,2025-10-18T00:03:40.000Z,2025-10-18T00:03:40.000Z
Luxe Forté Med Spa,luxe-forte-med-spa,310-460-9676,"36 Steele St , #100, Denver, CO, 80206, USA",36 Steele St ,#100,Denver,CO,80206,USA,Active,39.7168928,-104.949607,2025-10-18T00:03:40.000Z,2025-10-18T00:03:40.000Z
Nu Med Spa Encino,nu-med-spa-encino,818.387.6332,"17207 Ventura Blvd., Encino, CA, 91316, USA",17207 Ventura Blvd.,,Encino,CA,91316,USA,Active,34.1607767,-118.5079868,2025-10-18T00:03:41.000Z,2025-10-18T00:03:41.000Z
Sevā Skin,seva-skin,401-996-1011,"145 6th Ave, 7th Floor, New York, NY, 10013, USA","145 6th Ave, 7th Floor",,New York,NY,10013,USA,Active,40.7251196,-74.0049023,2025-10-18T00:03:41.000Z,2025-10-18T00:03:41.000Z
Admired Radiance,admired-radiance,8083877754,"4510 Salt Lake Blvd , #A6, Honolulu, HI, 96818, USA",4510 Salt Lake Blvd ,#A6,Honolulu,HI,96818,USA,Active,21.3652711,-157.9274901,2025-10-18T00:03:42.000Z,2025-10-18T00:03:42.000Z
Elevated Esthetics,elevated-esthetics,7576636330,"2545 Sandpiper Rd , UNIT 202, Virginia Beach, VA, 23456, USA",2545 Sandpiper Rd ,UNIT 202,Virginia Beach,VA,23456,USA,Active,36.7444548,-75.9452471,2025-10-18T00:03:42.000Z,2025-10-18T00:03:42.000Z
Maven Made Aesthetics,maven-made-aesthetics,716-477-3501,"2350 Maple Rd , Suite 400, Studio 6, Williamsville, NY, 14221, USA",2350 Maple Rd ,"Suite 400, Studio 6",Williamsville,NY,14221,USA,Active,42.989842,-78.701465,2025-10-18T00:03:42.000Z,2025-10-18T00:03:42.000Z
Olive & Grace Aesthetics,olive-and-grace-aesthetics,309-981-9600,"3600 Sisk Road , Suite 46, Modesto, CA, 95356, USA",3600 Sisk Road ,Suite 46,Modesto,CA,95356,USA,Active,37.69019309999999,-121.0604731,2025-10-18T00:03:43.000Z,2025-10-18T00:03:43.000Z
Pura Vida Wellness,pura-vida-wellness,440-290-0755,"9179 Mentor Ave , # K, Mentor, OH, 44060, USA",9179 Mentor Ave ,# K,Mentor,OH,44060,USA,Active,41.6773605,-81.3105448,2025-10-18T00:03:43.000Z,2025-10-18T00:03:43.000Z
Skin Society Hawaii,skin-society-hawaii,(808)452-5503,"1144 Koko Head Ave , #201, Honolulu, HI, 96816, USA",1144 Koko Head Ave ,#201,Honolulu,HI,96816,USA,Active,21.2819207,-157.798545,2025-10-18T00:03:44.000Z,2025-10-18T00:03:44.000Z
Studio 28,studio-28,(949) 381-1730,"18309 Brookehurst St. , Ste. 1 & 2, Fountain Valley, CA, 92708, USA",18309 Brookehurst St. ,Ste. 1 & 2,Fountain Valley,CA,92708,USA,Active,33.6968739,-117.9539662,2025-10-18T00:03:44.000Z,2025-10-18T00:03:44.000Z
Touch of Class,touch-of-class,(559) 467-0316,"1651 E Prosperity Ave, Tulare, CA, 93274, USA",1651 E Prosperity Ave,,Tulare,CA,93274,USA,Active,36.2251941,-119.3227968,2025-10-18T00:03:45.000Z,2025-10-18T00:03:45.000Z
Brightside Esthetics,brightside-esthetics,5303403523,"6060 Warner Ave , #18, Huntington Beach, CA, 92647, USA",6060 Warner Ave ,#18,Huntington Beach,CA,92647,USA,Active,33.7150302,-118.0231374,2025-10-18T00:03:45.000Z,2025-10-18T00:03:45.000Z
4 Great Skin Medspa,4-great-skin,248-856-9001,"39850 Van Dyke Ave., Sterling Heights, MI, 48313, USA",39850 Van Dyke Ave.,,Sterling Heights,MI,48313,USA,Active,42.5859923,-83.0296898,2025-10-18T00:03:45.000Z,2025-10-28T16:49:15.000Z
Marée Aesthetics & Longevity,maree-aesthetics-and-longevity,6097213806,"655 Martinsville Road - , Unit 18, Basking Ridge, NJ, 07920, USA",655 Martinsville Road - ,Unit 18,Basking Ridge,NJ,07920,USA,Active,40.6527207,-74.57657209999999,2025-10-18T00:03:46.000Z,2025-10-18T00:03:46.000Z
Alemi Facial Plastic Surgery,alemi-facial-plastic-surgery,5169731550,"440 Northern Boulevard , Suite 1A, Great Neck, NY, 11021, USA",440 Northern Boulevard ,Suite 1A,Great Neck,NY,11021,USA,Active,40.77951059999999,-73.72171999999999,2025-10-18T00:03:46.000Z,2025-10-18T00:03:46.000Z
Cabinet De Dermatologie Esthetique & Laser,cabinet-de-dermatologie-esthetique-and-laser,04.83.93.95.95,"8 Boulevard Victor Hugo, Nice, France, 06000, FR",8 Boulevard Victor Hugo,,Nice,France,06000,FR,Active,43.7003343,7.2660866,2025-10-18T00:03:47.000Z,2025-10-18T00:03:47.000Z
Beautilase MedSpa,beautilase-medspa,956-648-8291,"1500 S Bryan Rd, Mission, TX, 78572, USA",1500 S Bryan Rd,,Mission,TX,78572,USA,Active,26.1888932,-98.31454959999999,2025-10-18T00:03:47.000Z,2026-03-06T22:44:45.000Z
LRSS LIMITED,lrss-limited,078393539,"130 Rostevor St, Hamilton Centro, Hamilton, 3204, NZ",130 Rostevor St,,Hamilton Centro,Hamilton,3204,NZ,Active,-37.7836651,175.2734446,2025-10-18T00:03:47.000Z,2025-10-18T00:03:47.000Z
BLU Aesthetics,blu-aesthetics,845-235-0884,"453 Route 211 East , Suite 210, Middletown, NY, 10940, USA",453 Route 211 East ,Suite 210,Middletown,NY,10940,USA,Active,41.4562421,-74.38248759999999,2025-10-18T00:03:48.000Z,2025-10-31T20:46:10.000Z
Melinda Menezes MD Inc.,melinda-menezes-md-inc,808-855-8436,"3145 A AKAHI STREET, LIHUE, HI, 96766, USA",3145 A AKAHI STREET,,LIHUE,HI,96766,USA,Active,21.9783911,-159.3675092,2025-10-18T00:03:48.000Z,2025-10-18T00:03:48.000Z
The Skin Lab,the-skin-lab,346-509-7052,"2800 Kirby Dr. , Suite b224, Houston, TX, 77098, USA",2800 Kirby Dr. ,Suite b224,Houston,TX,77098,USA,Active,29.7408911,-95.41980629999999,2025-10-18T00:03:49.000Z,2025-10-18T00:03:49.000Z
Auburn Dermatology,auburn-dermatology,530-888-1016,"3254 Professional Drive, Auburn, CA, 95602, USA",3254 Professional Drive,,Auburn,CA,95602,USA,Active,38.9433618,-121.1005877,2025-10-18T00:03:49.000Z,2025-10-18T00:03:49.000Z
BaeSkin,baeskin,650-293-1446,"2119 Lanai Ave, San Jose, CA, 95122, USA",2119 Lanai Ave,,San Jose,CA,95122,USA,Active,37.3251841,-121.8336867,2025-10-18T00:03:50.000Z,2025-10-18T00:03:50.000Z
Sculpt Aesthetics,sculpt-aesthetics,406-498-6184,"1230 N 1st, Hamilton, MT, 59840, USA",1230 N 1st,,Hamilton,MT,59840,USA,Active,46.2618047,-114.1569355,2025-10-18T00:03:50.000Z,2025-10-18T00:03:50.000Z
Willows Lodge,willows-lodge,425-424-3900,"14580 NE 145th St., Woodinville, WA, 98072, USA",14580 NE 145th St.,,Woodinville,WA,98072,USA,Active,47.7336812,-122.1469097,2025-10-18T00:03:50.000Z,2025-10-18T00:03:50.000Z
Kingwood Skin Essentials Med Spa,kingwood-skin-essentials-med-spa,(832) 777-6846,"350 Kingwood Medical Dr., Kingwood, TX, 77339, USA",350 Kingwood Medical Dr.,,Kingwood,TX,77339,USA,Active,30.047897,-95.2589543,2025-10-18T00:03:51.000Z,2025-10-18T00:03:51.000Z
Natural State Aesthetics,natural-state-aesthetics,479-222-0983,"3766 North Investment Dr , Suite 150, Fayetteville, AR, 72703, USA",3766 North Investment Dr ,Suite 150,Fayetteville,AR,72703,USA,Active,36.1197424,-94.1594196,2025-10-18T00:03:51.000Z,2025-10-18T00:03:51.000Z
Nichethetics Spa (Owned by JPNutrivida Corp),nichethetics-spa-owned-by-jpnutrivida-corp,833-815-7546,"8595 Rosecrans Ave., Paramount, CA, 90723, USA",8595 Rosecrans Ave.,,Paramount,CA,90723,USA,Active,33.9041616,-118.1493955,2025-10-18T00:03:51.000Z,2025-10-18T00:03:51.000Z
RNGlo,rnglo,6513151219,"5282 Lyngate Ct, Burke, VA, 22015, USA",5282 Lyngate Ct,,Burke,VA,22015,USA,Active,38.80796770000001,-77.2574037,2025-10-18T00:03:52.000Z,2025-10-18T00:03:52.000Z
Santa Fe Lash and Beauty Bar,santa-fe-lash-and-beauty-bar,(505)577-3480,"1012 Marquez Place , Unit 101, Santa Fe, NM, 87505, USA",1012 Marquez Place ,Unit 101,Santa Fe,NM,87505,USA,Active,35.6754056,-105.9507484,2025-10-18T00:03:52.000Z,2025-10-18T00:03:52.000Z
Bare Esthetics NY - Evelina,bare-esthetics-ny-evelina,9172545115,"105-09 Metropolitan Ave, New York, NY, 11375, USA",105-09 Metropolitan Ave,,New York,NY,11375,USA,Active,40.7102035,-73.84796709999999,2025-10-18T00:03:52.000Z,2025-10-18T00:03:52.000Z
Kalon Aesthetics,kalon-aesthetics,509-833-4102,"506 S 1st , Suite C, Selah, WA, 98942, USA",506 S 1st ,Suite C,Selah,WA,98942,USA,Active,46.6461772,-120.5309439,2025-10-18T00:03:53.000Z,2025-10-18T00:03:53.000Z
Plastic Surgery of Short Hills - Dr. Ovchinsky,plastic-surgery-of-short-hills-dr-ovchinsky,973-379-0101,"1046 South Orange Ave, Short Hills, NJ, 07078, USA",1046 South Orange Ave,,Short Hills,NJ,07078,USA,Active,40.7563681,-74.3139843,2025-10-18T00:03:53.000Z,2025-11-11T03:04:29.000Z
Andress Aesthetics,andress-aesthetics,770-598-5625,"3285 North Point Pkwy, Alpharetta, GA, 30005, USA",3285 North Point Pkwy,,Alpharetta,GA,30005,USA,Active,34.0744389,-84.25968449999999,2025-10-18T00:03:54.000Z,2025-10-18T00:03:54.000Z
Blink Beauty Studio,blink-beauty-studio,6099141385,"335 E. Jimmie Leeds Road , Galloway, NJ, 08205, USA",335 E. Jimmie Leeds Road ,,Galloway,NJ,08205,USA,Active,39.4648233,-74.4956851,2025-10-18T00:03:54.000Z,2025-10-18T00:03:54.000Z
Fountain Aesthetics,fountain-aesthetics,7148817354,"391 S State College , Blvd # A, Brea, CA, 92821, USA",391 S State College ,Blvd # A,Brea,CA,92821,USA,Active,33.9108207,-117.8892962,2025-10-18T00:03:54.000Z,2025-10-18T00:03:54.000Z
Luxe Aesthetica,luxe-aesthetica,(505)-261-5287,"8311 San Pedro Dr NE , Suite 1, Albuquerque, NM, 87113, USA",8311 San Pedro Dr NE ,Suite 1,Albuquerque,NM,87113,USA,Active,35.1780672,-106.5780018,2025-10-18T00:03:55.000Z,2025-10-18T00:03:55.000Z
Utica Square Skincare,utica-square-skincare,,"1325 E35th St. , Suite B, Tulsa, OK, 74105, USA",1325 E35th St. ,Suite B,Tulsa,OK,74105,USA,Active,36.1136391,-95.9745774,2025-10-18T00:03:55.000Z,2025-10-18T00:03:55.000Z
Renew Day Spa,renew-day-spa,817 228 2425,"2116 Mistletoe Blvd, Fort Worth, TX, 76110, USA",2116 Mistletoe Blvd,,Fort Worth,TX,76110,USA,Active,32.7318044,-97.3497357,2025-10-18T00:03:56.000Z,2025-10-18T00:03:56.000Z
The Injectory,the-injectory,757-302-1030,"204 Carmichael Way, Suite 100, Chesapeake, VA, 23322, USA",204 Carmichael Way,Suite 100,Chesapeake,VA,23322,USA,Active,36.66051650000001,-76.2314316,2025-10-18T00:03:56.000Z,2025-10-29T19:40:19.000Z
Karli Jillian Esthetics LLC,karli-jillian-esthetics-llc,917-974-0125,"1 Pine West Plaza, , Suite 113, Albany, NY, 12205, USA","1 Pine West Plaza, ",Suite 113,Albany,NY,12205,USA,Active,42.7096733,-73.8640226,2025-10-18T00:03:57.000Z,2025-10-18T00:03:57.000Z
Orange Twist - McKinney,orange-twist-mckinney,214-831-8556,"8701 University Dr, , Bldg D Suite 150, McKinney, TX, 75023, USA","8701 University Dr, ",Bldg D Suite 150,McKinney,TX,75023,USA,Active - Non-accruing,33.2185349,-96.72949159999999,2025-10-18T00:03:57.000Z,2025-12-03T23:54:09.000Z
Orange Twist - Newport Beach,orange-twist-newport-beach,949-335-4661,"1634 San Miguel Drive, Newport Beach, CA, 92660, USA",1634 San Miguel Drive,,Newport Beach,CA,92660,USA,Active - Non-accruing,33.6113801,-117.863787,2025-10-18T00:03:57.000Z,2025-10-19T19:26:21.000Z
Orange Twist - Santa Clara,orange-twist-santa-clara,669-255-0770,"2722 Augustine Drive, , Suite 120, Santa Clara, CA, 95054, USA","2722 Augustine Drive, ",Suite 120,Santa Clara,CA,95054,USA,Active - Non-accruing,37.3809542,-121.9749934,2025-10-18T00:03:58.000Z,2025-10-19T19:26:15.000Z
Antibes Drug Store LLC,antibes-drug-store-llc,971 4 236 3080,"Sheikh Zayed Rd., Store No. 22, Near Oasis Centre, Dubai, UAE, UAE","Sheikh Zayed Rd., Store No. 22, Near Oasis Centre",,Dubai,UAE,,UAE,Active - Non-accruing,25.1698768,55.2413349,2025-10-18T00:03:58.000Z,2025-10-19T19:26:01.000Z
Lugn Esthetics,lugn-esthetics,(231) 357-0553,"100 E. Front Street , #204, Traverse, MI, 49684, USA",100 E. Front Street ,#204,Traverse,MI,49684,USA,Active,44.7639635,-85.62360269999999,2025-10-18T00:03:59.000Z,2025-10-18T00:03:59.000Z
82 Magnolia Aesthetics & Wellness,82-magnolia-aesthetics-wellness,850-889-8982,"6867 Oak Street, Milton, FL, 32570, USA",6867 Oak Street,,Milton,FL,32570,USA,Active,30.6217114,-87.0364065,2025-10-18T00:03:59.000Z,2026-01-13T22:27:27.000Z
Brendakay Beauty,brendakay-beauty,9163884182,"4148 Windsong St., Sacramento, CA, 95834, USA",4148 Windsong St.,,Sacramento,CA,95834,USA,Active,38.6465661,-121.5313167,2025-10-18T00:03:59.000Z,2025-10-18T00:03:59.000Z
Brow Innovation,brow-innovation,956-437-4731,"2210 E. Expressway 83, , Suite E, Mission, TX, 78572, USA","2210 E. Expressway 83, ",Suite E,Mission,TX,78572,USA,Active,26.1955604,-98.2913122,2025-10-18T00:04:00.000Z,2025-10-18T00:04:00.000Z
Element Wellness,element-wellness,4027408174,"14450 Eagle Run Dr, Omaha, NE, 68116, USA",14450 Eagle Run Dr,,Omaha,NE,68116,USA,Active,41.28817120000001,-96.139929,2025-10-18T00:04:00.000Z,2025-10-18T00:04:00.000Z
Imber Medical,imber-medical,(912) 268-2103,"1620 Frederica Rd., St. Simons Island, GA, 31522, USA",1620 Frederica Rd.,,St. Simons Island,GA,31522,USA,Active,31.161353,-81.3876485,2025-10-18T00:04:00.000Z,2025-10-18T00:04:00.000Z
Proactive Health Labs Encinitas,proactive-health-labs-encinitas,760-230-5808,"191 N El Camino Real , Ste 211, Encinitas, CA, 92024, USA",191 N El Camino Real ,Ste 211,Encinitas,CA,92024,USA,Active,33.0490293,-117.259183,2025-10-18T00:04:01.000Z,2025-10-18T00:04:01.000Z
Voci Med Spa,voci-med-spa,7047528030,"7808-F Rea Road, Charlotte, NC, 28277, USA",7808-F Rea Road,,Charlotte,NC,28277,USA,Active,35.06076,-80.81509,2025-10-18T00:04:01.000Z,2025-10-18T00:04:01.000Z
Beauté Aesthetics & Wellness,beaute-aesthetics-and-wellness,(406) 274-5402,"401 W Main Street, , Suite B, Hamilton, MT, 59840, USA","401 W Main Street, ",Suite B,Hamilton,MT,59840,USA,Active,46.2465607,-114.1603646,2025-10-18T00:04:01.000Z,2025-10-18T00:04:01.000Z
Dimension Cool Aesthetics,dimension-cool-aesthetics,(864) 308-1910,"383 South Pine St, Spartanburg, SC, 29302, USA",383 South Pine St,,Spartanburg,SC,29302,USA,Active,34.946215,-81.91398190000001,2025-10-18T00:04:02.000Z,2025-10-18T00:04:02.000Z
Mountain West Dermatology Aesthetics,mountain-west-dermatology-aesthetics,9706231031,"611 24 Road, Grand Junction, CO, 81505, USA",611 24 Road,,Grand Junction,CO,81505,USA,Active,39.0939055,-108.6086563,2025-10-18T00:04:02.000Z,2025-10-18T00:04:02.000Z
West End Plastic Surgery,west-end-plastic-surgery,202-869-1900,"2440 M St NW , #200, Washington, DC, 20037, USA",2440 M St NW ,#200,Washington,DC,20037,USA,Active,38.9050033,-77.05296059999999,2025-10-18T00:04:03.000Z,2025-10-18T00:04:03.000Z
Mountain West Plastic Surgery,mountain-west-plastic-surgery,406-609-0210,"168 Timberwolf Parkway, Kalispell, MT, 59901, USA",168 Timberwolf Parkway,,Kalispell,MT,59901,USA,Active,48.2383473,-114.3380862,2025-10-18T00:04:04.000Z,2025-10-18T00:04:04.000Z
Imperial Freight Brokers / Montcalm,imperial-freight-brokers-montcalm,,"10890 NW 29th Street, Doral, FL, 33172, USA",10890 NW 29th Street,,Doral,FL,33172,USA,Active,25.7999699,-80.373244,2025-10-18T00:04:03.000Z,2025-10-18T00:04:03.000Z
Savanna Boda Aesthetics,savanna-boda-aesthetics,(214) 222-5887,"2681 Macarthur Blvd , #305, Lewisville, TX, 75067, USA",2681 Macarthur Blvd ,#305,Lewisville,TX,75067,USA,Active,32.9977416,-96.9754033,2025-10-18T00:04:04.000Z,2025-10-18T00:04:04.000Z
Chattanooga Head Spa,chattanooga-head-spa,423-414-1799,"1309 Panorama Drive, Suite 115, Chattanooga, TN, 37363, USA",1309 Panorama Drive,Suite 115,Chattanooga,TN,37363,USA,Active,35.0175519,-85.1699032,2025-10-18T00:04:05.000Z,2026-01-13T22:56:00.000Z
Perfections Skincare & Esthetics,perfections-skincare-and-esthetics,208-589-4859,"468 Spring Meadows Dr, Idaho Falls, ID, 83404, USA",468 Spring Meadows Dr,,Idaho Falls,ID,83404,USA,Active,43.4449008,-112.042958,2025-10-18T00:04:05.000Z,2025-10-18T00:04:05.000Z
321 Skin Glow,321-skin-glow,856-373-0971,"10350 Highway 242 , Suite 200, Conroe, TX, 77385, USA",10350 Highway 242 ,Suite 200,Conroe,TX,77385,USA,Active,30.2079674,-95.4236804,2025-10-18T00:04:05.000Z,2025-10-18T00:04:05.000Z
AVARI Medical,avari-medical,905-808-1219,"1539 7th Ave West, Vancouver, BC, V6J 1S1, CA",1539 7th Ave West,,Vancouver,BC,V6J 1S1,CA,Active,49.2654851,-123.1397597,2025-10-18T00:04:06.000Z,2025-10-18T00:04:06.000Z
Faces SkinGym,faces-skin-gym,858-289-5402,"4510 Executive Dr , #200, San Diego, CA, 92121, USA",4510 Executive Dr ,#200,San Diego,CA,92121,USA,Active,32.8761321,-117.2108689,2025-10-18T00:04:06.000Z,2025-12-09T01:08:23.000Z
LAZ Skincare INC. DBA LAZ Skincare,laz-skincare-inc-dba-laz-skincare,3475065880,"32 Union Square East, , 912, NY, NY, 10003, USA","32 Union Square East, ",912,NY,NY,10003,USA,Active,40.7354868,-73.9892065,2025-10-18T00:04:07.000Z,2025-10-18T00:04:07.000Z
Renew Beauty Med Spa | NorthPark Center,renew-beauty-med-spa-or-northpark-center,214 369 1600,"8687 N Central Expressway , #2220, Dallas, TX, 75225, USA",8687 N Central Expressway ,#2220,Dallas,TX,75225,USA,Active,32.868639,-96.77392979999999,2025-10-18T00:04:07.000Z,2025-10-18T00:04:07.000Z
Spa Carmen,spa-carmen,949-637-6499,"167th and Quivira St, South Overland Park, KS, 66221, USA",167th and Quivira St,,South Overland Park,KS,66221,USA,Active,38.8231886,-94.7240247,2025-10-18T00:04:08.000Z,2025-10-23T21:59:00.000Z
The Skin Society,the-skin-society,512-971-7322,"2708 S. Lamar Blvd, Austin, TX, 78704, USA",2708 S. Lamar Blvd,,Austin,TX,78704,USA,Active,30.24499879999999,-97.7808676,2025-10-18T00:04:08.000Z,2025-10-18T00:04:08.000Z
Dangene,dangene,2122498172,"711 5th Avenue, 16th floor Dangene Spa, NY, NY, 10022, USA","711 5th Avenue, 16th floor Dangene Spa",,NY,NY,10022,USA,Active,40.761703,-73.97433319999999,2025-10-18T00:04:08.000Z,2025-10-18T00:04:08.000Z
Epoch Dermatology - Dr. Nicole Lee,epoch-dermatology,516-506-0800,"520 Franklin Ave, Suite 211, Garden City, NY, 11530, USA",520 Franklin Ave,Suite 211,Garden City,NY,11530,USA,Active,40.72298370000001,-73.63344889999999,2025-10-18T00:04:09.000Z,2025-10-31T23:31:47.000Z
Tiev Spa,tiev-spa,951-553-3669,"230 E. 17th St. , Suite 200, Costa Mesa, CA, 92627, USA",230 E. 17th St. ,Suite 200,Costa Mesa,CA,92627,USA,Active,33.6349476,-117.917588,2025-10-18T00:04:10.000Z,2025-10-18T00:04:10.000Z
Good Vibe Medical - Dr. Jennifer Volpe,good-vibe-medical-dr-jennifer-volpe,973-888-1011,"92 West Main Street, Chester, NJ, 07930, USA",92 West Main Street,,Chester,NJ,07930,USA,Active,40.7827942,-74.7022558,2025-10-18T00:04:09.000Z,2025-11-11T03:04:16.000Z
Beautiful Antiaging Med Spa,beautiful-antiaging-med-spa,(404) 402-3045,"2405 Macy Dr, Roswell, GA, 30076, USA",2405 Macy Dr,,Roswell,GA,30076,USA,Active,34.0488362,-84.3598942,2025-10-18T00:04:10.000Z,2025-10-18T00:04:10.000Z
Access Aesthetics,access-aesthetics,985-960-5066,"1411 Lindberg Dr., Slidell, LA, 70458, USA",1411 Lindberg Dr.,,Slidell,LA,70458,USA,Active,30.2819018,-89.7532688,2025-10-18T00:04:10.000Z,2025-10-18T00:04:10.000Z
Coscarart Dermatology,coscarart-dermatology,504-667-3450,"1939 Hickory Ave , Suite 106, Harahan, LA, 70123, USA",1939 Hickory Ave ,Suite 106,Harahan,LA,70123,USA,Active,29.9672092,-90.20644399999999,2025-10-18T00:04:11.000Z,2025-10-18T00:04:11.000Z
DaeGlo,daeglo,631-383-7452,"132-5 Main Street, Westhampton Beach, NY, 11978, USA",132-5 Main Street,,Westhampton Beach,NY,11978,USA,Active,40.8104073,-72.6425118,2025-10-18T00:04:11.000Z,2025-10-18T00:04:11.000Z
Juniper Aesthetics,juniper-aesthetics,1-508-274-4158,"1685 Main Street, Chatham, MA, 02633, USA",1685 Main Street,,Chatham,MA,02633,USA,Active,41.6827371,-69.99587149999999,2025-10-18T00:04:12.000Z,2025-10-18T00:04:12.000Z
June Beauty Lab,june-beauty-lab,801-682-0453,"128 W Pine St, Pinedale, WY, 82941, USA",128 W Pine St,,Pinedale,WY,82941,USA,Active,42.8664197,-109.8632163,2025-10-18T00:04:12.000Z,2025-10-18T00:04:12.000Z
